Instance;Optimal;Objective_0;Gap_0;Objective_1;Gap_1;Objective_2;Gap_2;Objective_3;Gap_3;Objective_4;Gap_4
XML100_2231_22;23205;23947;3.1976;23947;3.1976;24059;3.6802;23980;3.3398;23987;3.37
XML100_2233_11;10007;10529;5.2163;10529;5.2163;10349;3.4176;10394;3.8673;10506;4.9865
XML100_2233_14;9112;9460;3.8191;9460;3.8191;9460;3.8191;9460;3.8191;9422;3.4021
XML100_2233_15;11403;11670;2.3415;11670;2.3415;11657;2.2275;11672;2.359;11662;2.2713
XML100_2233_16;11730;11813;0.7076;11813;0.7076;11771;0.3495;11812;0.6991;11870;1.1935
XML100_2233_19;8510;8687;2.0799;8687;2.0799;8689;2.1034;8734;2.6322;8723;2.5029
XML100_2233_20;10817;10980;1.5069;10980;1.5069;10995;1.6456;11003;1.7195;11003;1.7195
XML100_2233_22;9579;9771;2.0044;9771;2.0044;9771;2.0044;9731;1.5868;9713;1.3989
XML100_2233_24;8426;8611;2.1956;8611;2.1956;8584;1.8751;8611;2.1956;8596;2.0176
XML100_2233_25;10248;10549;2.9372;10549;2.9372;10567;3.1128;10527;2.7225;10546;2.9079
XML100_2233_26;10096;10218;1.2084;10218;1.2084;10226;1.2876;10226;1.2876;10226;1.2876
XML100_2234_01;9121;9361;2.6313;9361;2.6313;9353;2.5436;9343;2.4339;9361;2.6313
XML100_2234_02;8084;8294;2.5977;8294;2.5977;8281;2.4369;8287;2.5111;8344;3.2162
XML100_2234_04;8610;8705;1.1034;8705;1.1034;8711;1.1731;8715;1.2195;8702;1.0685
XML100_2234_05;9621;10033;4.2823;10033;4.2823;10091;4.8851;10014;4.0848;10018;4.1264
XML100_2234_06;8778;9055;3.1556;9055;3.1556;9111;3.7936;9109;3.7708;9142;4.1467
XML100_2234_09;8305;8416;1.3365;8416;1.3365;8376;0.8549;8448;1.7219;8408;1.2402
XML100_2234_10;7172;7286;1.5895;7286;1.5895;7272;1.3943;7320;2.0636;7247;1.0457
XML100_2234_11;8743;9100;4.0833;9100;4.0833;9079;3.8431;9181;5.0097;9189;5.1012
XML100_2234_12;10236;10294;0.5666;10294;0.5666;10294;0.5666;10293;0.5569;10294;0.5666
XML100_2234_13;10164;10387;2.194;10387;2.194;10438;2.6958;10362;1.9481;10581;4.1027
XML100_2234_14;8904;9097;2.1676;9097;2.1676;8990;0.9659;9132;2.5606;9084;2.0216
XML100_2234_15;9728;9781;0.5448;9781;0.5448;9805;0.7915;9832;1.0691;9840;1.1513
XML100_2234_16;8152;8319;2.0486;8319;2.0486;8376;2.7478;8300;1.8155;8344;2.3553
XML100_2234_17;8387;8559;2.0508;8559;2.0508;8558;2.0389;8585;2.3608;8554;1.9912
XML100_2234_18;6996;7091;1.3579;7091;1.3579;7093;1.3865;7089;1.3293;7062;0.9434
XML100_2234_20;7676;7867;2.4883;7867;2.4883;7864;2.4492;7952;3.5956;7896;2.8661
XML100_2234_22;8058;8365;3.8099;8365;3.8099;8334;3.4252;8311;3.1397;8308;3.1025
XML100_2234_23;9432;10388;10.1357;10388;10.1357;10366;9.9025;9803;3.9334;10394;10.1993
XML100_2234_25;8567;8765;2.3112;8765;2.3112;8737;1.9844;8804;2.7664;8761;2.2645
XML100_2234_26;9600;9798;2.0625;9798;2.0625;9882;2.9375;9874;2.8542;9861;2.7188
XML100_2235_01;7726;7764;0.4918;7764;0.4918;7771;0.5824;7777;0.6601;7805;1.0225
XML100_2235_02;7768;7879;1.4289;7879;1.4289;7935;2.1498;7867;1.2745;7840;0.9269
XML100_2235_03;7136;7296;2.2422;7296;2.2422;7188;0.7287;7237;1.4154;7258;1.7096
