Instance;Optimal;Objective_0;Gap_0;Objective_1;Gap_1;Objective_2;Gap_2;Objective_3;Gap_3;Objective_4;Gap_4
XML100_1155_20;10264;10264;0;10264;0;10264;0;10264;0;10264;0
XML100_1212_04;22310;22310;0;22310;0;22310;0;22310;0;22310;0
XML100_1215_05;8607;8607;0;8607;0;8607;0;8607;0;8607;0
XML100_1231_11;24076;24318;1.00515;24318;1.00515;24318;1.00515;24318;1.00515;24318;1.00515
XML100_1251_05;44365;44948;1.3141;45692;2.9911;45692;2.9911;44948;1.3141;45692;2.9911
XML100_1251_08;32294;32720;1.31913;32720;1.31913;32720;1.31913;32720;1.31913;32720;1.31913
XML100_1251_09;32767;32897;0.396741;32897;0.396741;32897;0.396741;32897;0.396741;32897;0.396741
XML100_1251_10;33394;33858;1.38947;33858;1.38947;33858;1.38947;33858;1.38947;33858;1.38947
XML100_1251_11;46670;46955;0.610671;47304;1.35847;46955;0.610671;46955;0.610671;46955;0.610671
XML100_1251_13;42458;42488;0.0706581;42488;0.0706581;42488;0.0706581;42488;0.0706581;42488;0.0706581
XML100_1251_15;47940;48550;1.27242;48550;1.27242;48550;1.27242;48550;1.27242;48548;1.26825
XML100_1251_16;36111;36699;1.62831;36699;1.62831;36699;1.62831;36699;1.62831;36699;1.62831
XML100_1251_17;38923;39149;0.580634;39149;0.580634;39149;0.580634;39149;0.580634;39149;0.580634
XML100_1251_21;29479;30014;1.81485;30014;1.81485;30014;1.81485;30014;1.81485;30014;1.81485
XML100_1252_16;23744;24633;3.7441;24633;3.7441;24633;3.7441;24633;3.7441;24633;3.7441
XML100_1261_07;21667;22236;2.62611;22236;2.62611;22236;2.62611;22236;2.62611;22236;2.62611
XML100_1264_08;8302;8302;0;8302;0;8302;0;8302;0;8302;0
XML100_1313_01;16912;16970;0.342952;16970;0.342952;16970;0.342952;16970;0.342952;16970;0.342952
XML100_1315_06;10760;10774;0.130112;10774;0.130112;10774;0.130112;10774;0.130112;10774;0.130112
XML100_1322_07;20679;20679;0;20679;0;20679;0;20679;0;20679;0
XML100_1351_02;34605;34605;0;34605;0;34605;0;34605;0;34605;0
XML100_1351_16;31822;31858;0.113129;31858;0.113129;31858;0.113129;31858;0.113129;31858;0.113129
XML100_1353_22;17465;17583;0.675637;17583;0.675637;17583;0.675637;17583;0.675637;17583;0.675637
XML100_1363_03;12902;12985;0.643311;12902;0;12985;0.643311;12985;0.643311;12902;0
XML100_1363_04;18960;19109;0.785865;19109;0.785865;19109;0.785865;19109;0.785865;19109;0.785865
XML100_1363_06;12537;12537;0;12537;0;12537;0;12537;0;12537;0
XML100_1363_07;15310;15310;0;15310;0;15348;0.248204;15310;0;15310;0
XML100_1363_08;19809;19877;0.343278;19877;0.343278;19877;0.343278;19877;0.343278;19877;0.343278
XML100_1363_11;12207;12296;0.72909;12296;0.72909;12296;0.72909;12296;0.72909;12296;0.72909
XML100_1363_17;13944;13980;0.258176;13980;0.258176;13980;0.258176;13980;0.258176;13980;0.258176
XML100_1363_19;13617;13617;0;13617;0;13617;0;13617;0;13617;0
XML100_1363_24;18643;18749;0.568578;18749;0.568578;18733;0.482755;18733;0.482755;18733;0.482755
XML100_1363_25;13771;13771;0;13771;0;13771;0;13771;0;13771;0
XML100_1364_02;13715;13754;0.28436;13754;0.28436;13754;0.28436;13754;0.28436;13754;0.28436
XML100_1364_03;13203;13203;0;13203;0;13203;0;13203;0;13203;0
XML100_1364_06;14206;14206;0;14206;0;14206;0;14206;0;14206;0
XML100_1364_07;11811;12026;1.82034;12026;1.82034;12026;1.82034;12026;1.82034;12026;1.82034
XML100_1364_08;12805;12828;0.179617;12828;0.179617;12828;0.179617;12828;0.179617;12828;0.179617
XML100_1364_09;12460;12465;0.0401284;12465;0.0401284;12465;0.0401284;12465;0.0401284;12465;0.0401284
XML100_1364_10;13559;13559;0;13574;0.110628;13574;0.110628;13559;0;13559;0
XML100_1364_11;13832;13832;0;13832;0;13832;0;13832;0;13832;0
XML100_1364_12;10731;10731;0;10731;0;10731;0;10731;0;10731;0
XML100_1364_13;11936;11962;0.217828;11962;0.217828;11962;0.217828;11962;0.217828;11962;0.217828
XML100_2112_11;19664;19666;0.0101709;19666;0.0101709;19666;0.0101709;19666;0.0101709;19666;0.0101709
XML100_2112_12;19746;19746;0;19746;0;19746;0;19746;0;19746;0
XML100_2112_14;15995;15995;0;15995;0;15995;0;15995;0;15995;0
XML100_2112_16;15269;15269;0;15269;0;15269;0;15269;0;15269;0
XML100_2112_19;15941;15941;0;15941;0;15941;0;15941;0;15941;0
XML100_2112_20;19261;19261;0;19261;0;19261;0;19261;0;19261;0
XML100_2112_21;20893;20893;0;20893;0;20893;0;20893;0;20893;0
XML100_2112_22;17978;17978;0;17978;0;17978;0;17978;0;17978;0
XML100_2112_25;15855;15855;0;15855;0;15855;0;15855;0;15855;0
XML100_2112_26;16383;16383;0;16383;0;16383;0;16383;0;16383;0
XML100_2112_27;15732;15732;0;15732;0;15732;0;15732;0;15732;0
XML100_2113_01;12113;12113;0;12113;0;12113;0;12113;0;12113;0
XML100_2113_02;13633;13633;0;13633;0;13633;0;13633;0;13633;0
XML100_2113_03;12459;12459;0;12459;0;12459;0;12459;0;12459;0
XML100_2113_04;13776;13776;0;13776;0;13776;0;13776;0;13776;0
XML100_2113_05;13932;13932;0;13932;0;13932;0;13932;0;13932;0
XML100_2113_08;12733;12733;0;12742;0.0706825;12733;0;12742;0.0706825;12733;0
XML100_2113_10;12586;12586;0;12586;0;12586;0;12586;0;12586;0
XML100_2113_11;14606;14610;0.027386;14610;0.027386;14610;0.027386;14610;0.027386;14610;0.027386
XML100_2113_12;14802;14802;0;14802;0;14802;0;14802;0;14802;0
XML100_2114_15;12247;12272;0.204132;12272;0.204132;12272;0.204132;12272;0.204132;12272;0.204132
XML100_2114_16;12019;12019;0;12019;0;12019;0;12019;0;12019;0
XML100_2114_17;10706;10706;0;10706;0;10706;0;10706;0;10706;0
XML100_2114_18;11277;11277;0;11277;0;11277;0;11277;0;11277;0
XML100_2114_19;11448;11448;0;11448;0;11448;0;11448;0;11448;0
XML100_2114_20;11125;11125;0;11125;0;11125;0;11125;0;11125;0
XML100_2114_21;12017;12017;0;12017;0;12017;0;12017;0;12017;0
XML100_2114_22;10600;10600;0;10600;0;10600;0;10600;0;10600;0
XML100_2114_23;11582;11582;0;11582;0;11582;0;11582;0;11582;0
XML100_2114_24;10716;10716;0;10716;0;10716;0;10716;0;10716;0
XML100_2114_25;10429;10429;0;10429;0;10429;0;10429;0;10429;0
XML100_2114_26;10773;10773;0;10773;0;10773;0;10773;0;10773;0
XML100_2115_23;9729;9729;0;9729;0;9729;0;9729;0;9729;0
